parameter_value greedy_seq_t greedy_par_t greedy_speedup exact_seq_t exact_par_t exact_speedup genetic_seq_t genetic_par_t genetic_speedup brute_seq_t brute_par_t brute_speedup
2 0.0015606880187988281 0.03620004653930664 0.04311287326949168 0.0012907981872558594 0.04250311851501465 0.030369493636093363 0.0039217472076416016 1.1892197132110596 0.0032977482327906722 0.0015685558319091797 0.06840682029724121 0.022929816429027007
3 0.002885580062866211 0.050417423248291016 0.05723378699176227 0.0016438961029052734 0.015766620635986328 0.10426432783910479 0.0053942203521728516 3.1314969062805176 0.0017225692739322926 0.0013954639434814453 0.06334805488586426 0.022028520780877754
4 0.0014929771423339844 0.044127702713012695 0.033833103709106624 0.0015382766723632812 0.031154394149780273 0.04937591355388724 0.006485700607299805 3.91202449798584 0.0016578885461067685 0.0016252994537353516 0.04057955741882324 0.0400521729934255
5 0.0014786720275878906 0.04593706130981445 0.03218908622855186 0.0012960433959960938 0.028218507766723633 0.04592884240053398 0.0059566497802734375 3.240832805633545 0.0018379997172081766 0.0016069412231445312 0.06015801429748535 0.02671200573872171
6 0.0018525123596191406 0.04432392120361328 0.04179486627794393 0.0018718242645263672 0.0274960994720459 0.06807599261231108 0.004731178283691406 3.3228883743286133 0.0014238149918735495 0.0016331672668457031 0.06480002403259277 0.025203189215242595
7 0.0015363693237304688 0.04268169403076172 0.03599597810300525 0.003564596176147461 0.02915024757385254 0.12228356438882755 0.006227016448974609 3.560380458831787 0.0017489750101082693 0.0014226436614990234 0.06535148620605469 0.021769109535066982
8 0.0018787384033203125 0.025600194931030273 0.07338766006984866 0.01993846893310547 0.02078843116760254 0.959113690319177 0.01981830596923828 0.9107217788696289 0.021761098097199782 0.0027954578399658203 0.05104637145996094 0.05476310578036842
9 0.0018322467803955078 0.030092954635620117 0.06088623741275086 0.06679725646972656 0.03831338882446289 1.7434442245703121 0.006601095199584961 2.6962552070617676 0.0024482456936183263 0.0017821788787841797 0.05902409553527832 0.03019409044089431
10 0.0018494129180908203 0.035045623779296875 0.05277157940568194 0.29245591163635254 0.14015960693359375 2.0865919792063576 0.006072044372558594 0.058962106704711914 0.10298214755059541 0.0013818740844726562 0.06504940986633301 0.021243453050722592
11 0.0020036697387695312 0.06432151794433594 0.031150846603208493 4.114676475524902 1.5064754486083984 2.7313266069658293 0.00841665267944336 0.7714240550994873 0.010910539571335897 0.0016584396362304688 0.043222904205322266 0.03836946329085995
